id,slope,r_squared,slope_norm,n_phases,phase_sequence,peak_mass,peak_frame,trough_mass,mean_mass,active_fraction_t0,n_cells_t0,max_cell_area_t0,spatial_type,lifecycle_class,intensity_percentile,duration_frames,recommended_N_hint
S834603,174.94857142857148,0.0959622086581651,-0.0482,1,G,35830.0,48,623.0,8712.795918367347,0.004136827256944444,14,197,quiescent,QUIESCENT,40.4,49,1204
S831344,76471.53285714284,0.9874669178623438,0.1561,1,G,4221636.0,48,766233.0,2690683.0816326533,0.058675130208333336,39,6209,cluster,STEADY,75.0,49,2500
S821019,-838810.4014285713,0.6280302833765564,-2.2954,1,D,37601280.0,0,1304762.0,11400543.346938776,1.0,1,147456,mcs,RAPID_DECAY,2.7,49,1550
S830464,754609.3739795919,0.6962586709072109,1.9724,1,G,37601280.0,36,5710544.0,16472188.122448979,0.4001871744791667,32,58530,mcs,RAPID_GROWTH,94.7,49,2500
S825041,-27487.855816326533,0.334752275206961,-0.1223,1,D,4229603.0,17,2044319.0,3265148.3469387754,0.2060885959201389,58,14959,cluster,STEADY,25.7,49,2500
S818174,-26950.768571428576,0.2856543302429945,-0.1209,1,D,5220771.0,26,2557704.0,4461600.857142857,0.2912868923611111,15,42534,mcs,STEADY,26.0,49,1541
S830199,-614057.6277551021,0.5017967138767409,-1.6934,2,D→G,37601280.0,0,4879022.0,12994054.224489795,1.0,1,147456,mcs,RAPID_DECAY,7.5,49,1550
S842121,792502.1005102044,0.5902543637554628,2.0739,1,G,37601280.0,38,2345387.0,11882228.040816326,0.1538967556423611,43,10345,cluster,RAPID_GROWTH,95.3,49,2500
S807772,90330.06408163266,0.915068273991605,0.1932,1,G,7789004.0,47,3058525.0,5753610.979591837,0.2314385308159722,49,31605,mcs,STEADY,78.8,49,2500
S814242,849980.7526530614,0.5192542879794999,2.2278,2,G→D,37601280.0,30,804676.0,13787908.530612245,0.07314046223958333,29,6112,cluster,GROWTH_DECAY,96.4,49,2023
S814355,8846.59142857143,0.8884911164250912,-0.025,1,G,1017526.0,48,389311.0,682836.0612244898,0.035407172309027776,28,1390,cluster,QUIESCENT,47.2,49,1935
S815466,8963.038163265346,0.00015278421438081518,-0.0247,1,G,32806873.0,34,5768320.0,17107264.897959184,0.8109402126736112,34,117738,mcs,PLATEAU,47.4,49,2500
S818247,38166.158877551024,0.7502491760247882,0.0535,1,G,2386027.0,38,233131.0,1774343.306122449,0.019558376736111112,41,472,cluster,STEADY,62.7,49,2500
S837670,-104739.31622448984,0.029893821869192233,-0.3292,1,D,37601280.0,6,3177165.0,9411004.081632653,0.2328830295138889,33,16804,cluster,STEADY,16.0,49,2382
S835047,904852.1047959185,0.6460173663366021,2.3748,2,G→P,37601280.0,35,1446377.0,12503040.673469387,0.10939534505208333,28,9198,cluster,RAPID_GROWTH,97.1,49,2009
S818395,-1110627.2782653063,0.7319998374012049,-3.0234,2,P→D,37601280.0,0,123836.0,16403415.367346939,1.0,1,147456,mcs,RAPID_DECAY,0.0,49,1550
S833894,-676235.0860204083,0.6103249906382306,-1.8599,1,D,31527720.0,12,2724924.0,10816130.877551021,0.8235609266493056,4,121357,mcs,RAPID_DECAY,6.7,49,1523
S825114,-77188.9568367347,0.5176915564098133,-0.2555,2,G→D,8213843.0,19,3304944.0,6423369.632653061,0.4942491319444444,58,55538,mcs,GROWTH_DECAY,18.4,49,2500
S792176,1825.680816326531,0.7878114719508283,-0.0438,1,G,147524.0,42,48792.0,103342.83673469388,0.005269368489583333,34,239,quiescent,QUIESCENT,41.8,49,2205
S795292,39833.133367346956,0.6279323396067715,0.058,1,G,8131923.0,35,5714849.0,7317634.244897959,0.3361545138888889,4,49546,mcs,STEADY,63.8,49,1036
S835883,52700.5443877551,0.9728273339327272,0.0924,1,G,3050842.0,44,753967.0,2093472.3469387756,0.07084147135416667,58,4584,cluster,STEADY,69.0,49,2500
S816030,-3250.3981632653063,0.15354020604959254,-0.0574,1,D,839393.0,24,409993.0,650114.7551020408,0.06535508897569445,128,4164,cluster,QUIESCENT,35.5,49,2500
S833564,57806.15938775509,0.8412429543495958,0.1061,1,G,5317636.0,48,1815260.0,3957070.9183673467,0.142822265625,28,8617,cluster,STEADY,70.7,49,2042
S805592,-10192.823265306124,0.7174849641287531,-0.076,1,D,831967.0,19,301212.0,673077.8979591837,0.09370252821180555,123,1494,cluster,QUIESCENT,31.8,49,2500
S822148,224068.98142857137,0.035685537687990446,0.5514,1,G,37601280.0,19,1335287.0,14601522.653061224,0.1041598849826389,28,10227,cluster,RAPID_GROWTH,85.4,49,2004
S808982,32978.2225510204,0.9653389351231844,0.0396,1,G,1660809.0,42,224895.0,1056782.2857142857,0.022162543402777776,47,420,cluster,STEADY,59.5,49,2500
S810940,35846.14530612245,0.9937343819767238,0.0473,1,G,1841926.0,48,117135.0,876192.1836734693,0.014431423611111112,45,642,cluster,STEADY,61.3,49,2500
S818371,-9037.290816326531,0.2772554897899032,-0.0729,1,D,2314573.0,17,1243395.0,2099832.6326530613,0.12519666883680555,10,17307,cluster,STEADY,32.3,49,1125
S819602,68767.19897959183,0.006342414347644225,0.1355,1,G,37601280.0,23,3657555.0,13740449.693877552,0.5821872287326388,33,75338,mcs,STEADY,73.9,49,2500
S815906,-24499.283979591837,0.5636337750826702,-0.1143,2,G→D,3472673.0,17,2001751.0,2767926.2040816327,0.2352973090277778,101,12449,cluster,GROWTH_DECAY,27.0,49,2500
S819830,-36.69663265306203,7.024161102998249e-05,-0.0488,1,D,861644.0,14,564199.0,752996.612244898,0.04054090711805555,14,2045,cluster,QUIESCENT,39.0,49,1240
S816992,75.87704081632654,0.041114001492207244,-0.0485,1,G,21949.0,48,0.0,3310.938775510204,0.001064724392361111,2,127,quiescent,QUIESCENT,40.1,49,601
S840507,231063.9106122449,0.033836714543060115,0.5702,1,G,37601280.0,17,588829.0,16227891.489795918,0.054619683159722224,36,4390,cluster,RAPID_GROWTH,85.8,49,2354
S815500,80505.12091836733,0.9874745797433645,0.1669,1,G,3525588.0,48,122155.0,1793443.081632653,0.014329698350694444,23,621,cluster,STEADY,76.6,49,1664
S795744,10681.39091836734,0.8076553591919421,-0.0201,1,G,1338271.0,46,814745.0,1087438.3673469387,0.1351386176215278,156,3799,cluster,STEADY,48.9,49,2500
S825312,-862604.5162244898,0.6476690559256659,-2.3591,2,P→D,37601280.0,0,3975647.0,14794882.57142857,1.0,1,147456,mcs,RAPID_DECAY,2.5,49,1550
S822059,-536028.4830612246,0.20032725180034697,-1.4844,1,D,37601280.0,7,499566.0,14464850.918367347,0.05642361111111111,38,3926,cluster,RAPID_DECAY,9.3,49,2456
S817831,20752.046122448977,0.9395939421167201,0.0069,1,G,1592533.0,48,534828.0,912914.1428571428,0.04555935329861111,54,2852,cluster,STEADY,55.2,49,2500
S817783,-1886.517448979592,0.12790373184878384,-0.0538,1,D,861154.0,1,561656.0,670752.6734693878,0.06246609157986111,39,1468,cluster,QUIESCENT,36.4,49,2500
S835788,33593.24632653063,0.0007952252989990247,0.0413,1,G,37601280.0,11,1862325.0,22405675.63265306,0.20091417100694445,44,13940,cluster,STEADY,60.4,49,2500
S802989,-35206.53387755103,0.6312608537512087,-0.143,1,D,7274382.0,24,5103776.0,6696876.448979592,0.52435302734375,72,75220,mcs,STEADY,23.7,49,2500
S815783,-6063.49887755102,0.2668331825274518,-0.065,1,D,1792286.0,0,1042620.0,1239404.2040816327,0.21800401475694445,72,23473,cluster,STEADY,34.3,49,2500
S836485,832396.0714285716,0.7416875824075602,2.1807,2,D→G,29152742.0,44,1261819.0,15150138.122448979,0.19835069444444445,51,12140,cluster,RAPID_GROWTH,95.7,49,2500
S834212,392099.87489795923,0.40805566534197985,1.0015,1,G,26601669.0,47,1098391.0,5266071.1632653065,0.09315321180555555,75,3248,cluster,RAPID_GROWTH,88.2,49,2500
S801808,12391.715102040816,0.27052193503299443,-0.0155,1,G,2471377.0,19,1165903.0,2084466.9591836734,0.09908040364583333,76,6270,cluster,STEADY,50.5,49,2500
S817689,56658.875918367354,0.9222124572156236,0.103,1,G,3135652.0,48,526476.0,1400424.5102040817,0.04084608289930555,18,2724,cluster,STEADY,70.4,49,1440
S823789,33268.281428571434,0.605990462838357,0.0404,1,G,10703431.0,31,8530100.0,10130381.306122448,0.4863484700520833,69,68244,mcs,STEADY,60.2,49,2500
S817358,-657657.9975510204,0.46737739004450185,-1.8102,1,D,37601280.0,0,2793614.0,10578764.204081632,1.0,1,147456,mcs,RAPID_DECAY,6.9,49,1550
S821175,39587.90081632657,0.0018094471352881386,0.0573,1,G,37601280.0,19,7025516.0,15785594.897959184,0.4487711588541667,30,65002,mcs,STEADY,63.5,49,2448
S809593,-91376.2187755102,0.01694715787405006,-0.2935,1,D,37190057.0,19,2849020.0,7794758.306122449,0.4744466145833333,55,55803,mcs,STEADY,16.7,49,2500
S840550,969320.6234693882,0.5923942466457129,2.5475,2,G→D,37601280.0,19,357297.0,22368747.408163264,0.03795030381944445,31,3730,cluster,GROWTH_DECAY,97.5,49,2087
S817877,38722.71010204082,0.7381538799722616,0.055,1,G,2743511.0,48,615181.0,1128912.306122449,0.04932996961805555,40,1285,cluster,STEADY,63.2,49,2500
S819657,81276.24081632652,0.9518482397388565,0.169,1,G,9331219.0,44,5040853.0,7768685.673469388,0.4569159613715278,122,53492,mcs,STEADY,76.7,49,2500
S842399,769000.1966326531,0.7166166899910794,2.0109,1,G,34142780.0,48,2570647.0,13830888.24489796,0.17051866319444445,15,25085,cluster,RAPID_GROWTH,94.9,49,1420
S805989,0.0,0.0,-0.0487,1,P,37601280.0,0,37601280.0,37601280.0,1.0,1,147456,mcs,PLATEAU,39.7,49,1550
S817676,143.55285714285722,0.0188509063135377,-0.0483,1,G,443619.0,48,385914.0,418718.7551020408,0.05242919921875,101,1863,cluster,QUIESCENT,40.3,49,2500
S823407,694627.7660204082,0.47927089357610814,1.8117,1,G,37601280.0,40,456450.0,7700820.469387755,0.05118136935763889,23,5120,cluster,RAPID_GROWTH,93.8,49,1701
S814944,-43654.71469387755,0.9629433837367365,-0.1656,1,D,7746875.0,0,5409295.0,6462446.632653061,0.5545383029513888,57,75706,mcs,STEADY,22.3,49,2500
S802321,4604.05836734694,0.7210394811042581,-0.0364,1,G,682294.0,48,348658.0,506213.4285714286,0.04879421657986111,126,821,cluster,QUIESCENT,43.5,49,2500
S838691,7175.528775510201,0.12370935644402734,-0.0295,1,G,4204027.0,22,3033553.0,3782207.5918367347,0.2138129340277778,59,30454,mcs,STEADY,45.8,49,2500
S819119,20377.702040816333,0.10867814987844875,0.0059,1,G,5724619.0,31,2475716.0,4641654.816326531,0.17215983072916666,65,14898,cluster,STEADY,55.0,49,2500
S826624,29082.43877551021,0.5987269395205167,0.0292,1,G,2851569.0,39,971027.0,2297375.4693877553,0.08055962456597222,37,5818,cluster,STEADY,58.0,49,2430
S816260,9973.413877551022,0.024748272349074923,-0.022,1,G,6277049.0,21,3199251.0,5159323.244897959,0.22077772352430555,26,21881,cluster,STEADY,47.9,49,2020
S805925,-17087.083163265306,0.8213970190768366,-0.0945,1,D,2329624.0,2,1373089.0,1770869.0612244897,0.18403455946180555,52,21712,cluster,STEADY,28.8,49,2500
S830614,6622.590102040817,0.23117462071280237,-0.031,1,G,1926202.0,47,1184358.0,1650829.5102040817,0.0885348849826389,55,4339,cluster,STEADY,45.2,49,2500
S823706,107414.9305102041,0.8497281140899166,0.239,1,G,11277382.0,31,6190273.0,9691965.693877552,0.3977796766493056,76,56139,mcs,STEADY,81.0,49,2500
S841676,-389089.46295918373,0.19695645538670709,-1.0908,1,D,37601280.0,12,1606223.0,10059348.612244898,0.533935546875,22,75885,mcs,RAPID_DECAY,10.9,49,2133
S814034,30829.79948979591,0.8486219210797344,0.0339,1,G,2609178.0,48,962088.0,2074567.3673469387,0.0647854275173611,45,1711,cluster,STEADY,59.0,49,2500
S813465,29.133877551020415,0.23548214554291255,-0.0486,1,G,4664.0,45,0.0,326.6734693877551,2.0345052083333332e-05,2,2,quiescent,QUIESCENT,40.0,49,600
S842162,1100257.4039795918,0.7478574627838378,2.8982,1,G,37601280.0,22,946585.0,21360665.714285713,0.06658257378472222,40,1819,cluster,RAPID_GROWTH,99.3,49,2500
S815227,-153133.3456122449,0.021354645388356044,-0.4589,1,D,37601280.0,14,1803412.0,11599641.591836736,0.15943739149305555,23,17929,cluster,RAPID_DECAY,14.8,49,1809
S799730,-14847.547551020401,0.6223415005823388,-0.0885,1,D,6139250.0,3,5211102.0,5642282.0612244895,0.4004720052083333,60,56427,mcs,STEADY,29.6,49,2500
S841886,74387.06081632653,0.9770126301314468,0.1505,1,G,4932942.0,48,1685995.0,3222651.4897959186,0.14491780598958334,26,9168,cluster,STEADY,74.5,49,1944
S817677,25348.987551020407,0.7037999850323727,0.0192,1,G,1800066.0,30,557132.0,1069941.2653061224,0.0623779296875,62,4216,cluster,STEADY,56.2,49,2500
S830219,679823.079387755,0.5454759099533306,1.7721,1,G,34739415.0,44,2587422.0,10550389.959183674,0.1901584201388889,10,27720,cluster,RAPID_GROWTH,93.5,49,1190
S830712,-18339.485,0.8628817602734042,-0.0978,1,D,1331774.0,15,534427.0,1034174.7959183673,0.1427069769965278,127,8438,cluster,STEADY,28.7,49,2500
S838131,138292.06153061226,0.9886075463921999,0.3217,1,G,9712989.0,48,3187121.0,6782289.3877551025,0.22767469618055555,17,33400,mcs,STEADY,83.4,49,1577
S853365,-756903.3835714286,0.5049711745495967,-2.076,2,P→D,37601280.0,0,891842.0,9608668.714285715,1.0,1,147456,mcs,RAPID_DECAY,4.9,49,1550
S827050,84153.818877551,0.9523455586866754,0.1767,1,G,6697386.0,48,2195484.0,4813845.87755102,0.1672905815972222,46,24271,cluster,STEADY,77.6,49,2500
S795747,975.2841836734696,0.051810821562905326,-0.0461,1,G,651938.0,20,400358.0,557435.081632653,0.057807074652777776,117,1273,cluster,QUIESCENT,41.0,49,2500
S822064,-425.35693877551006,0.028791042205770015,-0.0499,1,D,719812.0,28,516137.0,636331.3673469388,0.04673936631944445,50,4665,cluster,QUIESCENT,38.4,49,2500
S827400,-213509.61785714288,0.03472656169418017,-0.6206,1,D,37601280.0,13,233204.0,10647640.693877552,0.027058919270833332,47,630,cluster,RAPID_DECAY,13.4,49,2500
S834971,296733.23714285716,0.2552575341376498,0.746,1,G,37601280.0,46,1748120.0,5246484.326530612,0.13893636067708334,40,7176,cluster,RAPID_GROWTH,86.5,49,2500
S823561,9542.476122448976,0.13707223669181515,-0.0232,1,G,6292416.0,22,4785113.0,5856877.3877551025,0.3439602322048611,46,43733,mcs,STEADY,47.8,49,2500
S821002,4246.489183673468,0.12375330450326312,-0.0373,1,G,3217451.0,45,2666733.0,2968193.4285714286,0.2424858940972222,106,29178,cluster,STEADY,42.9,49,2500
S818623,42113.907755102045,0.9446412815216233,0.0641,1,G,2688868.0,48,643076.0,1848001.1836734693,0.061089409722222224,77,2514,cluster,STEADY,65.3,49,2500
S815362,-50850.60561224494,0.9354219276992292,-0.1849,1,D,3334064.0,0,802544.0,1909755.1224489796,0.2617594401041667,73,12428,cluster,STEADY,21.2,49,2500
S841369,-950497.3048979592,0.7648833566813271,-2.5945,1,D,37601280.0,0,4580134.0,23966382.69387755,1.0,1,147456,mcs,RAPID_DECAY,1.4,49,1550
S815202,-141569.21295918367,0.9525149006895602,-0.4279,1,D,6071521.0,4,702613.0,3622665.9591836734,0.4150797526041667,35,55021,mcs,STEADY,15.0,49,2500
S826174,153992.42724489802,0.01525644907769901,0.3637,1,G,37601280.0,13,496635.0,20044084.591836736,0.04974365234375,27,2876,cluster,STEADY,83.9,49,1899
S834609,-694930.5405102043,0.44248247827024245,-1.91,1,D,30769168.0,17,437885.0,14166416.897959184,0.04612901475694445,42,2760,cluster,RAPID_DECAY,5.8,49,2500
S836483,376661.6034693878,0.35856975235778804,0.9601,1,G,27157058.0,42,258008.0,5924840.795918368,0.1543850368923611,61,4875,cluster,RAPID_GROWTH,87.9,49,2500
S834294,-65005.72459183671,0.011255043857289052,-0.2228,1,D,37601280.0,14,4931161.0,9338375.387755102,0.3196139865451389,5,47125,mcs,STEADY,19.7,49,1069
S829840,129665.44040816312,0.036386725753919144,0.2986,1,G,20457783.0,17,417835.0,9803870.040816326,0.05780029296875,45,2575,cluster,STEADY,83.2,49,2500
S837523,6467.145408163265,0.7949817067480817,-0.0314,1,G,372811.0,34,24739.0,245989.6530612245,0.0022108289930555555,9,226,quiescent,QUIESCENT,44.9,49,952
S819520,-494943.9720408164,0.34463099619363785,-1.3744,1,D,37601280.0,0,2356587.0,7674168.326530612,1.0,1,147456,mcs,RAPID_DECAY,9.9,49,1550
S812577,-592459.280510204,0.46393524922250134,-1.6355,2,P→G,37601280.0,0,2541367.0,13352338.367346939,1.0,1,147456,mcs,RAPID_DECAY,8.0,49,1550
S818389,-915705.877857143,0.6252062709076748,-2.5013,1,D,37601280.0,0,137705.0,10552905.653061224,1.0,1,147456,mcs,RAPID_DECAY,1.6,49,1550
S840536,53489.743265306126,0.9902681450407083,0.0945,1,G,2547606.0,48,8391.0,1148691.2653061224,0.0009697808159722222,8,107,quiescent,QUIESCENT,69.6,49,900
S812905,52296.06979591838,0.905587077739171,0.0914,1,G,3833956.0,48,1136037.0,2568048.9591836734,0.08622911241319445,32,6417,cluster,STEADY,68.9,49,2186
